Type,Part Number,Brand,Model,Rank,Benchmark,Samples,URL,Price
CPU,BX80646I54460,Intel,Core i5-4460,476,62.1,245403,https://cpu.userbenchmark.com/Intel-Core-i5-4460/Rating/2310,
CPU,FD8370FRHKBOX,AMD,FX-8370,477,62.1,34720,https://cpu.userbenchmark.com/AMD-FX-8370/Rating/2983,
CPU,,Intel,Core i7-3635QM,478,62.1,2986,https://cpu.userbenchmark.com/SpeedTest/2465/IntelR-CoreTM-i7-3635QM-CPU---240GHz,
CPU,BX80684G5400,Intel,Pentium Gold G5400,479,62.1,15354,https://cpu.userbenchmark.com/SpeedTest/484278/IntelR-PentiumR-Gold-G5400-CPU---370GHz,
CPU,,Intel,Core i7-7700HQ,480,62,473208,https://cpu.userbenchmark.com/SpeedTest/211019/IntelR-CoreTM-i7-7700HQ-CPU---280GHz,
CPU,AW8063801013511,Intel,Core i7-3610QM,481,62,38575,https://cpu.userbenchmark.com/Intel-Core-i7-3610QM/Rating/2730,
CPU,,Intel,Core i3-6098P,482,62,6133,https://cpu.userbenchmark.com/SpeedTest/80177/IntelR-CoreTM-i3-6098P-CPU---360GHz,
CPU,,Intel,Core i7-4700HQ,483,61.9,42062,https://cpu.userbenchmark.com/Intel-Core-i7-4700HQ/Rating/2728,
CPU,BX80646I34330,Intel,Core i3-4330,484,61.9,6343,https://cpu.userbenchmark.com/Intel-Core-i3-4330/Rating/2876,
CPU,,Intel,Core i7-4702HQ,485,61.8,3582,https://cpu.userbenchmark.com/SpeedTest/297/IntelR-CoreTM-i7-4702HQ-CPU---220GHz,
CPU,,Intel,Core i7-2860QM,486,61.7,4317,https://cpu.userbenchmark.com/SpeedTest/103/IntelR-CoreTM-i7-2860QM-CPU---250GHz,
CPU,,Intel,Core i7-4810MQ,487,61.7,26927,https://cpu.userbenchmark.com/SpeedTest/7168/IntelR-CoreTM-i7-4810MQ-CPU---280GHz,
CPU,BX80601920,Intel,Core i7-920,488,61.6,69074,https://cpu.userbenchmark.com/Intel-Core-i7-920/Rating/1981,
CPU,,Intel,Core i5-7260U,489,61.5,2757,https://cpu.userbenchmark.com/SpeedTest/269906/IntelR-CoreTM-i5-7260U-CPU---220GHz,
CPU,BX80605I5750,Intel,Core i5-750,490,61.5,43796,https://cpu.userbenchmark.com/Intel-Core-i5-750/Rating/2773,
CPU,BX80646I54440,Intel,Core i5-4440,491,61.3,81111,https://cpu.userbenchmark.com/Intel-Core-i5-4440/Rating/1993,
CPU,,AMD,Ryzen 3 5400U,492,61.3,208,https://cpu.userbenchmark.com/SpeedTest/1535428/AMD-Ryzen-3-5400U-with-Radeon-Graphics,
CPU,,Intel,Xeon X3430,493,61.3,4096,https://cpu.userbenchmark.com/SpeedTest/5225/IntelR-XeonR-CPU-----------X3430----240GHz,
