Type,Part Number,Brand,Model,Rank,Benchmark,Samples,URL
CPU,,AMD,E2-7110 APU (2015 M.Ca),1281,29.4,5170,https://cpu.userbenchmark.com/SpeedTest/150118/AMD-E2-7110-APU-with-AMD-Radeon-R2-Graphics
CPU,,Intel,U4100,1282,29.3,1054,https://cpu.userbenchmark.com/SpeedTest/10746/Genuine-IntelR-CPU-----------U4100----130GHz
CPU,,AMD,Turion II Neo N40L,1283,29.3,169,https://cpu.userbenchmark.com/SpeedTest/7/AMD-Turiontm-II-Neo-N40L-Dual-Core-Processor
CPU,,Intel,Pentium 4 3.00GHz,1284,29.2,6937,https://cpu.userbenchmark.com/SpeedTest/440/--------------IntelR-PentiumR-4-CPU-300GHz
CPU,,AMD,A4-9120 APU (2016 M.SR),1285,29.2,1643,https://cpu.userbenchmark.com/SpeedTest/308751/AMD-A4-9120-RADEON-R3-4-COMPUTE-CORES-2C-2G
CPU,,Intel,Core2 T5200,1286,29.2,307,https://cpu.userbenchmark.com/SpeedTest/11616/IntelR-CoreTM2-CPU---------T5200----160GHz
CPU,AM9220AYN23AC,AMD,A6-9220 APU (2016 M.SR),1287,29.2,4762,https://cpu.userbenchmark.com/SpeedTest/300155/AMD-A6-9220-RADEON-R4-5-COMPUTE-CORES-2C-3G
CPU,,Intel,Celeron J3455,1288,29.1,3455,https://cpu.userbenchmark.com/SpeedTest/200485/IntelR-CeleronR-CPU-J3455---150GHz
CPU,,Intel,Celeron N2830,1289,29.1,10608,https://cpu.userbenchmark.com/SpeedTest/12104/IntelR-CeleronR-CPU--N2830----216GHz
CPU,,AMD,Athlon X2 Dual-Core QL-65,1290,29.1,518,https://cpu.userbenchmark.com/SpeedTest/4672/AMD-Athlontm-X2-Dual-Core-QL-65
CPU,,Intel,Pentium Dual T2330,1291,29.1,867,https://cpu.userbenchmark.com/SpeedTest/6733/IntelR-PentiumR-Dual--CPU--T2330----160GHz
CPU,,Intel,Pentium Dual T2310,1292,29,450,https://cpu.userbenchmark.com/SpeedTest/2719/IntelR-PentiumR-Dual--CPU--T2310----146GHz
CPU,AM9200AKN23AC,AMD,A6-9200 APU (2016 M.SR),1293,28.9,1116,https://cpu.userbenchmark.com/SpeedTest/252093/AMD-A6-9200-RADEON-R4-5-COMPUTE-CORES-2C-3G
CPU,,Intel,Pentium Dual T2390,1294,28.8,1249,https://cpu.userbenchmark.com/SpeedTest/2090/IntelR-PentiumR-Dual--CPU--T2390----186GHz
CPU,,AMD,A9-9420 APU (2016 M.SR),1295,28.4,14746,https://cpu.userbenchmark.com/SpeedTest/297050/AMD-A9-9420-RADEON-R5-5-COMPUTE-CORES-2C-3G
CPU,,Intel,Celeron N2840,1296,28.4,20923,https://cpu.userbenchmark.com/SpeedTest/16086/IntelR-CeleronR-CPU--N2840----216GHz
CPU,,Intel,Pentium M processor 1.86GHz,1297,28.3,196,https://cpu.userbenchmark.com/SpeedTest/4587/--------IntelR-PentiumR-M-processor-186GHz
CPU,,AMD,Sempron 3600+,1298,28.3,126,https://cpu.userbenchmark.com/SpeedTest/1005/Mobile-AMD-Semprontm-Processor-3600-
CPU,FH8068003067416,Intel,Celeron J4005,1299,28.3,1572,https://cpu.userbenchmark.com/SpeedTest/473105/IntelR-CeleronR-J4005-CPU---200GHz
CPU,,AMD,Athlon 64 X2 Dual Core TK-55,1300,28.2,315,https://cpu.userbenchmark.com/SpeedTest/1927/AMD-Athlontm-64-X2-Dual-Core-Processor-TK-55
CPU,,Intel,Pentium 4 2.80GHz,1301,28.1,1546,https://cpu.userbenchmark.com/SpeedTest/3163/--------------IntelR-PentiumR-4-CPU-280GHz
CPU,,AMD,E2-9000 APU (2016 M.SR),1302,28,1803,https://cpu.userbenchmark.com/SpeedTest/339888/AMD-E2-9000-RADEON-R2-4-COMPUTE-CORES-2C-2G
CPU,,AMD,Athlon X2 Dual-Core QL-64,1303,27.9,421,https://cpu.userbenchmark.com/SpeedTest/3720/AMD-Athlontm-X2-Dual-Core-QL-64
CPU,,AMD,E2-9010 APU (2016 M.SR),1304,27.9,275,https://cpu.userbenchmark.com/SpeedTest/175091/AMD-E2-9010-RADEON-R2-4-COMPUTE-CORES-2C-2G
CPU,,Intel,Pentium M processor 1.73GHz,1305,27.9,318,https://cpu.userbenchmark.com/SpeedTest/7488/--------IntelR-PentiumR-M-processor-173GHz
CPU,,AMD,AthlonX2 DualCore QL-60,1306,27.9,22,https://cpu.userbenchmark.com/SpeedTest/6294/AMD-AthlontmX2-DualCore-QL-60
CPU,,AMD,Athlon Neo X2 Dual Core L335,1307,27.7,171,https://cpu.userbenchmark.com/SpeedTest/4043/AMD-Athlontm-Neo-X2-Dual-Core-Processor-L335
CPU,,Intel,Celeron N3160,1308,27.6,1747,https://cpu.userbenchmark.com/SpeedTest/166661/IntelR-CeleronR-CPU--N3160----160GHz
CPU,,Intel,Celeron N2815,1309,27.4,1028,https://cpu.userbenchmark.com/SpeedTest/9736/IntelR-CeleronR-CPU--N2815----186GHz
CPU,,Intel,Atom x7-Z8700,1310,27.3,2330,https://cpu.userbenchmark.com/SpeedTest/27122/IntelR-AtomTM-x7-Z8700--CPU---160GHz
CPU,,AMD,E-350D APU,1311,27.3,269,https://cpu.userbenchmark.com/SpeedTest/6589/AMD-E-350D-APU-with-Radeontm-HD-Graphics
CPU,,Intel,Celeron N2820,1312,27.3,2102,https://cpu.userbenchmark.com/SpeedTest/5994/IntelR-CeleronR-CPU--N2820----213GHz
CPU,,AMD,Athlon 64 X2 Dual Core TK-53,1313,27.1,139,https://cpu.userbenchmark.com/SpeedTest/9182/AMD-Athlontm-64-X2-Dual-Core-Processor-TK-53
CPU,,AMD,E2-2000 APU (2012 M.Za),1314,27.1,927,https://cpu.userbenchmark.com/SpeedTest/10908/AMD-E2-2000-APU-with-Radeontm-HD-Graphics
CPU,,AMD,A9-9425 APU (2016 M.SR),1315,27.1,15014,https://cpu.userbenchmark.com/SpeedTest/496441/AMD-A9-9425-RADEON-R5-5-COMPUTE-CORES-2C-3G
CPU,,Intel,Celeron N3450,1316,27,6637,https://cpu.userbenchmark.com/SpeedTest/208922/IntelR-CeleronR-CPU-N3450---110GHz
CPU,,AMD,Sempron 3000+,1317,26.8,276,https://cpu.userbenchmark.com/SpeedTest/3648/AMD-Semprontm-Processor-3000-
CPU,,Intel,Atom x7-Z8750,1318,26.7,376,https://cpu.userbenchmark.com/SpeedTest/177483/IntelR-AtomTM-x7-Z8750--CPU---160GHz
CPU,,AMD,Sempron 2800+,1319,26.7,158,https://cpu.userbenchmark.com/SpeedTest/4755/AMD-Semprontm-Processor-2800-
CPU,,AMD,A4-5000 APU,1320,26.6,10330,https://cpu.userbenchmark.com/SpeedTest/5321/AMD-A4-5000-APU-with-RadeonTM-HD-Graphics
