Type,Part Number,Brand,Model,Rank,Benchmark,Samples,URL
USB,,Corsair,Voyager GT 3.0 128GB,52,37.3,55,https://usb.userbenchmark.com/SpeedTest/4631/Corsair-Voyager-GT-30
USB,SDCZ800-064G,SanDisk,Extreme Go USB 3.1 64GB,53,37.3,2139,https://usb.userbenchmark.com/SpeedTest/233900/SanDisk-Extreme
USB,,Seagate,Backup+ Desk 1TB,54,37.2,191,https://usb.userbenchmark.com/SpeedTest/4767/Seagate-Backup--Desk
USB,,,MXUB3SES-16G 16GB,55,37.1,10,https://usb.userbenchmark.com/SpeedTest/6560/MXUB3SES-16G
USB,,I-O,DATA HDCA-UT 2TB,56,36.1,18,https://usb.userbenchmark.com/SpeedTest/2894/I-O-DATA-HDCA-UT
USB,,WD,My Book 3.0 1123 1TB,57,36,174,https://usb.userbenchmark.com/SpeedTest/4862/WD-My-Book-30-1123
USB,LJDNV64GCRBEU,Lexar,JumpDrive Triton USB 3.0 64GB,58,35,7,https://usb.userbenchmark.com/Lexar-JumpDrive-Triton-USB-30-64GB/Rating/1464
USB,,WD,My Book 1140 4TB,59,35,1831,https://usb.userbenchmark.com/SpeedTest/4814/WD-My-Book-1140
USB,,Initio,INIC-3609 500GB,60,34.5,136,https://usb.userbenchmark.com/SpeedTest/6861/Initio-INIC-3609
USB,,HGST,HTS 545050A7E680 500GB,61,34.4,137,https://usb.userbenchmark.com/SpeedTest/9890/HGST-HTS-545050A7E680
USB,,PNY,USB 3.0 FD 256GB,62,34.4,365,https://usb.userbenchmark.com/SpeedTest/11237/PNY-USB-30-FD
USB,LJDP10-16GCRBEU,Lexar,JumpDrive P10 USB 3.0 16GB,63,34.2,39,https://usb.userbenchmark.com/Lexar-JumpDrive-P10-USB-30-16GB/Rating/1477
USB,,Samsung,M3 Portable 2TB,64,33.9,5095,https://usb.userbenchmark.com/SpeedTest/5483/Samsung-M3-Portable
USB,LJDNV32GCRBEU,Lexar,JumpDrive Triton USB 3.0 32GB,65,33.9,45,https://usb.userbenchmark.com/Lexar-JumpDrive-Triton-USB-30-32GB/Rating/1465
